2018-11-25 12:37:47 INFO  ch.arexa.hesge.jdbc.bank.dao.BankDA:57 -  saved ch.arexa.hesge.jdbc.bank.Client@4cc77c2eunder id 4
2018-11-25 12:39:08 INFO  ch.arexa.hesge.jdbc.bank.dao.BankDA:57 -  saved ch.arexa.hesge.jdbc.bank.Client{id=null, name='pierre', address='pierre@gmail.com', dao=ch.arexa.hesge.jdbc.bank.dao.BankDA@4cc77c2e}under id 5
2018-11-25 12:39:08 INFO  ch.arexa.hesge.jdbc.bank.dao.BankDA:59 -  saved ch.arexa.hesge.jdbc.bank.Client{id=5, name='pierre', address='rue du lac', dao=ch.arexa.hesge.jdbc.bank.dao.BankDA@4cc77c2e}under id 6
2018-11-25 12:42:20 INFO  ch.arexa.hesge.jdbc.bank.dao.BankDA:57 -  saved ch.arexa.hesge.jdbc.bank.Client{id=null, name='pierre', address='pierre@gmail.com'}under id 7
2018-11-25 12:42:39 INFO  ch.arexa.hesge.jdbc.bank.dao.BankDA:57 -  saved ch.arexa.hesge.jdbc.bank.Client{id=null, name='pierre', address='pierre@gmail.com'}under id 8
2018-11-25 12:46:51 INFO  ch.arexa.hesge.jdbc.bank.dao.BankDA:57 -  saved ch.arexa.hesge.jdbc.bank.Client{id=null, name='pierre', address='pierre@gmail.com'}under id 9
2018-11-25 12:47:50 INFO  ch.arexa.hesge.jdbc.bank.dao.BankDA:57 -  saved ch.arexa.hesge.jdbc.bank.Client{id=null, name='pierre', address='pierre@gmail.com'}under id 10
2018-11-25 12:49:10 INFO  ch.arexa.hesge.jdbc.bank.dao.BankDA:57 -  saved ch.arexa.hesge.jdbc.bank.Client{id=null, name='pierre', address='pierre@gmail.com'}under id 11
2018-11-25 12:49:48 INFO  ch.arexa.hesge.jdbc.bank.dao.BankDA:57 -  saved ch.arexa.hesge.jdbc.bank.Client{id=null, name='pierre', address='pierre@gmail.com'}under id 12
2018-11-25 12:49:48 INFO  ch.arexa.hesge.jdbc.bank.dao.BankDA:59 -  saved ch.arexa.hesge.jdbc.bank.Client{id=12, name='pierre', address='rue du lac'}under id null
2018-11-25 21:39:24 INFO  BankDAOTest:27 - MySQL
2018-11-25 22:14:53 INFO  BankDATest:28 - MySQL
2019-01-06 13:47:55 INFO  AccountDA:154 - built SQL : select * from Account where 1=1  and accountRef=? and balance=? and currencyCode=? and idClient=?
2019-01-06 13:53:15 INFO  AccountDA:154 - built SQL : select * from Account where 1=1  and accountRef=? and balance=? and currencyCode=? and idClient=?
2019-01-06 13:59:32 INFO  AccountDA:154 - built SQL : select * from Account where 1=1  and balance=? and currencyCode=?
2019-01-06 13:59:32 INFO  AccountDA:170 - Prepared statment com.mysql.jdbc.JDBC42PreparedStatement@3d24753a: select * from Account where 1=1  and balance=200.0 and currencyCode='EUR'
2019-01-06 13:59:32 INFO  AccountDA:154 - built SQL : select * from Account where 1=1  and balance=? and currencyCode=?
2019-01-06 13:59:32 INFO  AccountDA:170 - Prepared statment com.mysql.jdbc.JDBC42PreparedStatement@2d6e8792: select * from Account where 1=1  and balance=100.0 and currencyCode='CHF'
2019-01-06 15:12:25 INFO  AccountDA:154 - built SQL : select * from Account where 1=1  and balance=? and currencyCode=?
2019-01-06 15:12:25 INFO  AccountDA:170 - Prepared statment com.mysql.jdbc.JDBC42PreparedStatement@3f3afe78: select * from Account where 1=1  and balance=200.0 and currencyCode='EUR'
2019-01-06 15:13:09 INFO  AccountDA:154 - built SQL : select * from Account where 1=1  and balance=? and currencyCode=?
2019-01-06 15:13:09 INFO  AccountDA:170 - Prepared statment com.mysql.jdbc.JDBC42PreparedStatement@3f3afe78: select * from Account where 1=1  and balance=200.0 and currencyCode='EUR'
2019-01-06 15:13:09 INFO  AccountDA:154 - built SQL : select * from Account where 1=1  and balance=? and currencyCode=?
2019-01-06 15:13:09 INFO  AccountDA:170 - Prepared statment com.mysql.jdbc.JDBC42PreparedStatement@30c7da1e: select * from Account where 1=1  and balance=100.0 and currencyCode='CHF'
2019-01-06 15:14:20 INFO  AccountDA:154 - built SQL : select * from Account where 1=1  and accountRef=? and balance=? and currencyCode=?
2019-01-06 15:14:20 INFO  AccountDA:170 - Prepared statment com.mysql.jdbc.JDBC42PreparedStatement@3f3afe78: select * from Account where 1=1  and accountRef='831e65f4-95c9-4cab-baed-8f9077e69061' and balance=200.0 and currencyCode='EUR'
2019-01-06 15:14:20 INFO  AccountDA:154 - built SQL : select * from Account where 1=1  and balance=? and currencyCode=?
2019-01-06 15:14:20 INFO  AccountDA:170 - Prepared statment com.mysql.jdbc.JDBC42PreparedStatement@30c7da1e: select * from Account where 1=1  and balance=100.0 and currencyCode='CHF'
2019-01-06 15:14:48 INFO  AccountDA:154 - built SQL : select * from Account where 1=1  and accountRef=? and balance=? and currencyCode=?
2019-01-06 15:14:48 INFO  AccountDA:170 - Prepared statment com.mysql.jdbc.JDBC42PreparedStatement@3f3afe78: select * from Account where 1=1  and accountRef='bd0453db-faf0-4637-abf5-2506fe55a8e5' and balance=200.0 and currencyCode='EUR'
2019-01-06 15:14:48 INFO  AccountDA:154 - built SQL : select * from Account where 1=1  and accountRef=? and balance=? and currencyCode=?
2019-01-06 15:14:48 INFO  AccountDA:170 - Prepared statment com.mysql.jdbc.JDBC42PreparedStatement@30c7da1e: select * from Account where 1=1  and accountRef='bd0453db-faf0-4637-abf5-2506fe55a8e5' and balance=100.0 and currencyCode='CHF'
